file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [16-May-2025 23:26:11 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:26:11 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:26:20 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:26:20 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:26:29 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:26:29 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:31:58 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:00 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:08 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:09 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:17 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:19 UTC] PHP Notice:  Undefined index: REMOTE_ADDR in /wordpress/wp-content/plugins/agb-free/dyg-theme/includes/dyg-toolkit.php on line 259
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 120
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 161
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 172
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 241
