file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jul-2025 03:49:02 UTC] PHP Fatal error:  Declaration of autoptimize_admin_bar_fix::addPluginSubMenu() must be compatible with mijnpress_plugin_framework::addPluginSubMenu($title, $function, $file, $capability = 10, $where = 'plugins.ph...') in /wordpress/wp-content/plugins/autoptimize-admin-bar-fix/autoptimize_admin_bar_fix.php on line 52
[09-Jul-2025 03:49:10 UTC] PHP Fatal error:  Declaration of autoptimize_admin_bar_fix::addPluginSubMenu() must be compatible with mijnpress_plugin_framework::addPluginSubMenu($title, $function, $file, $capability = 10, $where = 'plugins.ph...') in /wordpress/wp-content/plugins/autoptimize-admin-bar-fix/autoptimize_admin_bar_fix.php on line 52
[09-Jul-2025 03:49:18 UTC] PHP Fatal error:  Declaration of autoptimize_admin_bar_fix::addPluginSubMenu() must be compatible with mijnpress_plugin_framework::addPluginSubMenu($title, $function, $file, $capability = 10, $where = 'plugins.ph...') in /wordpress/wp-content/plugins/autoptimize-admin-bar-fix/autoptimize_admin_bar_fix.php on line 52
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 6
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 7
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 8
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 9
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 10
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 11
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 12
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 13
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 14
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 15
