file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [22-Apr-2025 03:47:58 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[22-Apr-2025 03:48:07 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[22-Apr-2025 03:48:16 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[22-Apr-2025 03:48:26 UTC] PHP Deprecated:  Required parameter $toPath follows optional parameter $fromPath in /wordpress/wp-content/plugins/backup-database/lib/Dropbox/dropbox.php on line 998
[22-Apr-2025 03:48:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/components/error_handler.php on line 31
[22-Apr-2025 03:48:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/lib/backup_database-functions.php on line 279
[22-Apr-2025 03:48:34 UTC] PHP Deprecated:  Required parameter $toPath follows optional parameter $fromPath in /wordpress/wp-content/plugins/backup-database/lib/Dropbox/dropbox.php on line 998
[22-Apr-2025 03:48:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/components/error_handler.php on line 31
[22-Apr-2025 03:48:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/lib/backup_database-functions.php on line 279
[22-Apr-2025 03:48:43 UTC] PHP Deprecated:  Required parameter $toPath follows optional parameter $fromPath in /wordpress/wp-content/plugins/backup-database/lib/Dropbox/dropbox.php on line 998
[22-Apr-2025 03:48:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/components/error_handler.php on line 31
[22-Apr-2025 03:48:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/backup-database/lib/backup_database-functions.php on line 279
[22-Apr-2025 03:49:19 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 38
[22-Apr-2025 03:49:19 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 39
[22-Apr-2025 03:49:28 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 38
[22-Apr-2025 03:49:28 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 39
[22-Apr-2025 03:49:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 38
[22-Apr-2025 03:49:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/basic-auth-for-wp-admin/wp-admin-basic-auth.php on line 39
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 93
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 104
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 114
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 155
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 590
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 667
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 676
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 722
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 768
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 833
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 879
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 935
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 952
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 970
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 1051
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 1062
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 1120
[22-Apr-2025 03:49:45 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/bcorp-shortcodes/bcorp_shortcodes.php on line 1157
