file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [05-May-2025 13:14:06 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/cab-fare-calculator/controllers/onepage.php on line 334
[05-May-2025 13:14:18 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/cab-fare-calculator/controllers/onepage.php on line 334
[05-May-2025 13:14:29 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/cab-fare-calculator/controllers/onepage.php on line 334
[05-May-2025 13:16:31 UTC] PHP Deprecated:  Required parameter $module_path follows optional parameter $file_path in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/cherry-core.php on line 380
[05-May-2025 13:16:31 UTC] PHP Deprecated:  Required parameter $core follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
[05-May-2025 13:16:31 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
[05-May-2025 13:16:31 UTC] PHP Deprecated:  Required parameter $after follows optional parameter $text in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-utility/inc/cherry-satellite-utilit.php on line 90
[05-May-2025 13:16:42 UTC] PHP Deprecated:  Required parameter $module_path follows optional parameter $file_path in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/cherry-core.php on line 380
[05-May-2025 13:16:42 UTC] PHP Deprecated:  Required parameter $core follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
[05-May-2025 13:16:42 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
[05-May-2025 13:16:42 UTC] PHP Deprecated:  Required parameter $after follows optional parameter $text in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-utility/inc/cherry-satellite-utilit.php on line 90
[05-May-2025 13:16:52 UTC] PHP Deprecated:  Required parameter $module_path follows optional parameter $file_path in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/cherry-core.php on line 380
[05-May-2025 13:16:52 UTC] PHP Deprecated:  Required parameter $core follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
[05-May-2025 13:16:52 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $class_name in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/modules/cherry-toolkit/cherry-toolkit.php on line 82
