file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [16-Apr-2025 05:27:45 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:27:45 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:27:45 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:27:45 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:27:45 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:27:45 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:27:45 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:27:45 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:27:54 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:27:54 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:27:54 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 14
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:28:03 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 15
[16-Apr-2025 05:28:03 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:28:04 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 37
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 38
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 39
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 40
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 41
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 42
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 43
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 44
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 45
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 46
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 47
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 48
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 49
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 50
[16-Apr-2025 05:28:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 154
[16-Apr-2025 05:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 37
[16-Apr-2025 05:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 38
[16-Apr-2025 05:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 39
[16-Apr-2025 05:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 40
