file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [04-May-2025 16:56:00 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:56:01 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:56:10 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:56:11 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:56:19 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:56:20 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 16:58:35 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/flm-golf-booking/flm-booking-widget.php on line 765
[04-May-2025 16:58:43 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/flm-golf-booking/flm-booking-widget.php on line 765
[04-May-2025 16:58:51 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/flm-golf-booking/flm-booking-widget.php on line 765
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 230
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$label as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 232
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 234
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 236
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 238
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$label as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 239
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 828
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 831
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 863
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 864
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 875
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 889
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 890
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 895
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 922
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 926
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 828
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 831
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 863
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 864
[04-May-2025 17:00:15 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 875
