file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [28-Apr-2025 13:31:54 UTC] PHP Warning:  Undefined array key "showAB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:31:54 UTC] PHP Warning:  Undefined array key "show" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:31:54 UTC] PHP Warning:  Undefined array key "ab" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:31:54 UTC] PHP Warning:  Undefined array key "AB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:03 UTC] PHP Warning:  Undefined array key "showAB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:03 UTC] PHP Warning:  Undefined array key "show" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:03 UTC] PHP Warning:  Undefined array key "ab" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:03 UTC] PHP Warning:  Undefined array key "AB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:12 UTC] PHP Warning:  Undefined array key "showAB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:12 UTC] PHP Warning:  Undefined array key "show" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:12 UTC] PHP Warning:  Undefined array key "ab" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:32:12 UTC] PHP Warning:  Undefined array key "AB" in /wordpress/wp-content/plugins/hide-show-admin-bar/public/class-adminbar_hide_show-public.php on line 63
[28-Apr-2025 13:33:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/index.php on line 106
[28-Apr-2025 13:33:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 8
[28-Apr-2025 13:33:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 17
[28-Apr-2025 13:33:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 18
