file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [14-Jun-2025 15:29:35 UTC] PHP Warning:  Undefined variable $attachments in /wordpress/wp-content/plugins/my-contact-form/contact.php on line 79
[14-Jun-2025 15:29:44 UTC] PHP Warning:  Undefined variable $attachments in /wordpress/wp-content/plugins/my-contact-form/contact.php on line 79
[14-Jun-2025 15:29:54 UTC] PHP Warning:  Undefined variable $attachments in /wordpress/wp-content/plugins/my-contact-form/contact.php on line 79
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/my-center-deals.php on line 75
[14-Jun-2025 15:31:05 UTC] PHP Notice:  Function add_theme_support( 'title-tag' ) was called <strong>incorrectly</strong>. Theme support for <code>title-tag</code> should be registered before the <code>wp_loaded</code> hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/deals/deal.php on line 45
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/stores/store.php on line 45
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/products/single.php on line 14
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/events/event.php on line 45
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/careers/career.php on line 45
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/blog/blog.php on line 45
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/shopping-guide/single.php on line 14
[14-Jun-2025 15:31:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/admin/sections/search/search.php on line 21
[14-Jun-2025 15:31:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/my-center-deals.php on line 75
[14-Jun-2025 15:31:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/Shortcodes.php on line 368
[14-Jun-2025 15:31:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/Shortcodes.php on line 369
[14-Jun-2025 15:31:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/Shortcodes.php on line 375
[14-Jun-2025 15:31:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/my-center-deals/inc/Shortcodes.php on line 376
