file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $the_version in /wordpress/wp-content/plugins/meenews/meenews.php on line 16
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 37
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 37
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 38
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 38
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 39
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 39
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 40
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 40
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 41
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 41
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 43
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 43
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 44
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 44
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 45
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 45
[05-May-2025 02:00:35 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 46
[05-May-2025 02:00:35 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 46
[05-May-2025 02:00:35 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/meenews/inc/classes/meenews_manager.php on line 1002
[05-May-2025 02:00:42 UTC] PHP Warning:  Undefined variable $the_version in /wordpress/wp-content/plugins/meenews/meenews.php on line 16
[05-May-2025 02:00:43 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 37
[05-May-2025 02:00:43 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 37
[05-May-2025 02:00:43 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 38
[05-May-2025 02:00:43 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 38
[05-May-2025 02:00:43 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/meenews/meenews.php on line 39
[05-May-2025 02:00:43 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/meenews/meenews.php on line 39
