file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-May-2025 05:53:02 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/multisite-dashboard-broadcast/multisite-dashboard-broadcast.php on line 31
[19-May-2025 05:53:10 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/multisite-dashboard-broadcast/multisite-dashboard-broadcast.php on line 31
[19-May-2025 05:53:19 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/multisite-dashboard-broadcast/multisite-dashboard-broadcast.php on line 31
[19-May-2025 05:54:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 62
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 63
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 98
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 101
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 104
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 107
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 110
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
