file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:110
          throw new Error(`${ue}: ${p}`, {
                ^

Error: [19-May-2025 15:52:26 UTC] PHP Warning:  Undefined property: WP_Object_Cache::$cache_enabled in /wordpress/wp-includes/class-wp-object-cache.php on line 94
[19-May-2025 15:52:26 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 15:52:35 UTC] PHP Warning:  Undefined property: WP_Object_Cache::$cache_enabled in /wordpress/wp-includes/class-wp-object-cache.php on line 94
[19-May-2025 15:52:35 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 15:52:45 UTC] PHP Warning:  Undefined property: WP_Object_Cache::$cache_enabled in /wordpress/wp-includes/class-wp-object-cache.php on line 94
[19-May-2025 15:52:45 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 15:53:21 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 118
[19-May-2025 15:53:21 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 143
[19-May-2025 15:53:21 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 50
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 118
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 143
[19-May-2025 15:53:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ptt-manager</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 15:53:22 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 50
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-adminarea.php on line 164
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 137
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 191
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 209
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 241
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 254
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 316
[19-May-2025 15:53:22 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 385
[19-May-2025 15:53:30 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 118
[19-May-2025 15:53:30 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 143
[19-May-2025 15:53:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 50
[19-May-2025 15:53:31 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 118
[19-May-2025 15:53:31 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 143
[19-May-2025 15:53:31 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ptt-manager</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 15:53:31 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/ptt-manager/ptt-manager.php on line 50
[19-May-2025 15:53:31 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-adminarea.php on line 164
[19-May-2025 15:53:31 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/ptt-manager/classes/class-process.php on line 137
