file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [17-Jun-2025 11:49:01 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/pararius-office/lib/Base.php on line 28
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 999
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1011
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1018
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1027
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1036
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1044
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1052
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1060
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1068
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1076
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1084
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1092
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1101
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1109
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1117
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1126
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1134
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1142
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1151
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1160
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1169
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1177
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1186
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1195
[17-Jun-2025 11:49:01 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1204
[17-Jun-2025 11:49:01 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 2333
[17-Jun-2025 11:49:11 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/pararius-office/lib/Base.php on line 28
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 999
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1011
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1018
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1027
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1036
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1044
[17-Jun-2025 11:49:11 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/pararius-office/lib/Api.php on line 1052
