file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-Apr-2025 11:22:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php:60
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('suntimes-widget...')
#2 /internal/eval.php(20): activate_plugin('suntimes-widget...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php on line 60
[19-Apr-2025 11:22:42 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php:60
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('suntimes-widget...')
#2 /internal/eval.php(20): activate_plugin('suntimes-widget...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php on line 60
[19-Apr-2025 11:22:49 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php:60
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('suntimes-widget...')
#2 /internal/eval.php(20): activate_plugin('suntimes-widget...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/suntimes-widget/suntimes-widget.php on line 60
[19-Apr-2025 11:27:14 Africa/Abidjan] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/sentinote/lib/PHPMarkdownLib/Michelf/Markdown.php on line 772
[19-Apr-2025 11:27:21 Africa/Abidjan] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/sentinote/lib/PHPMarkdownLib/Michelf/Markdown.php on line 772
[19-Apr-2025 11:27:29 Africa/Abidjan] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/sentinote/lib/PHPMarkdownLib/Michelf/Markdown.php on line 772
[19-Apr-2025 11:27:37 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 11:27:37 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/seo-query/seo_query.php on line 17
[19-Apr-2025 11:27:37 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/seo-query/seo_query.php on line 17
[19-Apr-2025 11:27:38 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
