file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [01-Jul-2025 16:35:02 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:02 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:02 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:02 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:03 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:03 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:03 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:03 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:13 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:22 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:22 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:35:22 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[01-Jul-2025 16:35:22 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
