file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 13:06:22 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:06:23 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
