file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [13-Apr-2025 05:12:04 UTC] PHP Warning:  Undefined variable $htaccess in /wordpress/wp-content/plugins/wordpress-automatic-image-hotlink-protection/wordpress-automatic-image-hotlink-protection.php on line 73
[13-Apr-2025 05:12:57 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $new_status in /wordpress/wp-content/plugins/wp-blame/class-log-hooks.php on line 137
[13-Apr-2025 05:13:06 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $new_status in /wordpress/wp-content/plugins/wp-blame/class-log-hooks.php on line 137
[13-Apr-2025 05:13:15 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $new_status in /wordpress/wp-content/plugins/wp-blame/class-log-hooks.php on line 137
[13-Apr-2025 05:15:11 UTC] PHP Warning:  Undefined array key "wpll_submit" in /wordpress/wp-content/plugins/wp-lazy-loader/wp-lazy-loader.php on line 168
[13-Apr-2025 05:15:20 UTC] PHP Warning:  Undefined array key "wpll_submit" in /wordpress/wp-content/plugins/wp-lazy-loader/wp-lazy-loader.php on line 168
[13-Apr-2025 05:15:28 UTC] PHP Warning:  Undefined array key "wpll_submit" in /wordpress/wp-content/plugins/wp-lazy-loader/wp-lazy-loader.php on line 168
[13-Apr-2025 05:15:37 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:37 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:38 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
