file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [29-Apr-2025 15:50:05 UTC] PHP Warning:  file_get_contents(/wordpress/wp-content/plugins/wp-simple-cache/cache/options.dat): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wp-simple-cache/lib.php on line 625
[29-Apr-2025 15:50:14 UTC] PHP Warning:  file_get_contents(/wordpress/wp-content/plugins/wp-simple-cache/cache/options.dat): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wp-simple-cache/lib.php on line 625
[29-Apr-2025 15:50:22 UTC] PHP Warning:  file_get_contents(/wordpress/wp-content/plugins/wp-simple-cache/cache/options.dat): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wp-simple-cache/lib.php on line 625
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 40
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 56
[29-Apr-2025 15:51:58 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 284
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 285
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 286
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 287
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 288
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 289
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 290
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 291
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 292
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 293
[29-Apr-2025 15:51:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 294
[29-Apr-2025 15:51:59 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
