file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [05-May-2025 07:00:36 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:00:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 92
[05-May-2025 07:00:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 98
[05-May-2025 07:00:37 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:00:45 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:00:45 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 92
[05-May-2025 07:00:45 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 98
[05-May-2025 07:00:46 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:00:53 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:00:53 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 92
[05-May-2025 07:00:53 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 98
[05-May-2025 07:00:54 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:01:31 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 30
[05-May-2025 07:01:31 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 115
[05-May-2025 07:01:40 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 30
[05-May-2025 07:01:40 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 115
[05-May-2025 07:01:48 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 30
[05-May-2025 07:01:48 UTC] PHP Deprecated:  Required parameter $option follows optional parameter $widget_unique_id in /wordpress/wp-content/plugins/wp-widget-styler/includes/helper-functions.php on line 115
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "wpCursos_duracao" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "wpCursos_requisitos" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "wpCursos_aposcurso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "wpCursos_pontosfortes" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "curso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "cursolink" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
