file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [21-Jun-2025 07:47:32 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:47:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 52
[21-Jun-2025 07:47:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 56
[21-Jun-2025 07:47:33 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:47:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 52
[21-Jun-2025 07:47:33 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 56
[21-Jun-2025 07:47:41 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:47:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 52
[21-Jun-2025 07:47:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 56
[21-Jun-2025 07:47:42 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:47:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 52
[21-Jun-2025 07:47:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 56
[21-Jun-2025 07:47:50 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:47:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 52
