file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 05:25:40 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:40 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:25:40 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[12-Apr-2025 05:25:40 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:25:41 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:41 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:25:49 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:49 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:25:49 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[12-Apr-2025 05:25:49 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:25:50 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:50 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:25:57 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:57 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:25:57 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[12-Apr-2025 05:25:57 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:25:58 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:25:58 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[12-Apr-2025 05:26:34 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
