file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [22-Jun-2025 04:39:43 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:39:43 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:39:43 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[22-Jun-2025 04:39:43 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:39:44 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:39:44 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:39:52 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:39:52 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:39:52 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[22-Jun-2025 04:39:52 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:39:53 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:39:53 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:40:02 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:40:02 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:40:02 UTC] PHP Warning:  Undefined variable $optimizer in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 32
[22-Jun-2025 04:40:02 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:40:03 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:40:03 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 14
[22-Jun-2025 04:42:58 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:42:58 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
