file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [20-May-2025 13:57:13 UTC] PHP Deprecated:  WP_SQLite_Information_Schema_Exception::__construct(): Implicitly marking parameter $previous as nullable is deprecated, the explicit nullable type must be used instead in /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-information-schema-exception.php on line 37
[20-May-2025 13:57:15 UTC] PHP Deprecated:  WP_SQLite_Information_Schema_Exception::__construct(): Implicitly marking parameter $previous as nullable is deprecated, the explicit nullable type must be used instead in /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-information-schema-exception.php on line 37
[20-May-2025 13:58:10 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 18
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 19
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 19
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 20
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 20
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 21
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 21
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 22
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 22
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 23
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 23
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 24
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 24
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 25
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 25
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 26
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 26
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 27
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 27
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 28
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 28
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 29
[20-May-2025 13:58:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 29
[20-May-2025 13:58:11 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 18
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 19
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 19
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 20
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 20
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 21
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 21
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 22
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 22
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 23
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 23
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 24
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 24
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 25
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 25
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 26
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 26
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 27
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 27
[20-May-2025 13:58:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/unfiltered-yelp-reviews/yelpreview.php on line 28
