file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined variable $welcome_name in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[05-Jul-2025 10:29:46 UTC] PHP Warning:  Undefined variable $welcome_text in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[05-Jul-2025 10:29:47 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
